アビシニアン
アメリカンカール
アメリカンショートヘア
アメリカンボブテイル
アメリカンワイヤーヘア
エキゾチックショートヘア
エジプシャンマウ
オシキャット
オリエンタル
キムリック
コーニッシュレックス
コラット
サイベリアン
ジャパニーズボブテイル
シャム
シャルトリュー
シンガプーラ
スコティッシュフォールド
スノーシュー
スフィンクス
セルカークレックス
ソマリ
ターキッシュアンゴラ
ターキッシュバン
デボンレックス
トンキニーズ
ノルウェージャンフォレストキャット
バーマン
ハバナブラウン
バーミーズ
バリニーズ
ピクシーボブ
ヒマラヤン
ブリティッシュショートヘア
ペルシャ
ベンガル
ボンベイ
マンクス
マンチカン
メインクーン
ラガマフィン
ラグドール
ラパーマ
ロシアンブルー
アメリカンキューダ
アメリカンポリダクティル
アメリカンリングテイル
アラビアンマウ
アルパインリンクス
イジアン
ウラルレックス
エイジアン
オイイーボブ
オーストラリアンミスト
オホサスレス
オリエンタルバイカラー
カラーポイントショートヘアー
カリフォルニアスパングルド
ミケネコ
クロネコ
シロネコ
ブチネコ
トラネコ
キジトラ
サバトラ
チャトラ
サビネコ
キプロスアフロディーテ
キンカロー
クリッパーキャット
クリリアンボブテイル
サバンナ
サファリ
ジャーマンレックス
ジェネッタ
シャンティリー
スクークム
セイシェルワ
セイロンキャット
セレンゲティ
ソコケ
チートー
チャウシー
デザートリンクス
テネシーレックス
トイガー
トイボブ
ドウェルフ
ドラゴンリー
ドンスコイ
ナポレオン
ネベロング
バーレイニディルムンキャット
ハイランドリンクス
ハバリ
バンビーノ
ピーターボールド
フォールデックス
ブラジリアンショートヘアー
ブランブル
ブリティッシュロングヘアー
マンダレイ
ミンスキン
メコンボブテイル
モハーベスポッテド
モハーベボブ
ユークレイニアンレフコイ
ヨークチョコレート
ヨーロピアンショートヘアー
ライコイ
ラムキン
